Date,Capacity,Length,marginal_cost_monthly_mean
January 2016,150764.8,118865.80900000001,352.9075
February 2016,151264.8,119269.30900000001,522.785
March 2016,152464.8,119496.649,270.15200000000004
April 2016,152464.8,119532.74900000001,78.97
May 2016,152464.8,120136.278,83.82
June 2016,152764.8,120331.87800000001,87.906
July 2016,152989.8,121780.10800000001,114.19749999999999
August 2016,152989.8,122369.808,48.042
September 2016,153214.8,122808.48800000001,0.0325
October 2016,153214.8,122808.48800000001,85.6575
November 2016,153294.8,123004.788,153.6375
December 2016,153894.8,123760.92800000001,315.83399999999995
January 2017,154302.8,124053.198,217.1375
February 2017,155052.8,124063.40800000001,317.216
March 2017,155052.8,124063.40800000001,254.2375
April 2017,155052.8,124076.90800000001,210.8175
May 2017,155277.8,124353.48800000001,228.308
June 2017,155502.8,124438.788,171.73749999999998
July 2017,157002.8,124445.633,48.025000000000006
August 2017,157002.8,124843.933,124.918
September 2017,157752.8,125142.133,181.98499999999999
October 2017,159177.8,125223.69300000001,262.868
November 2017,159177.8,125223.69300000001,450.355
December 2017,159357.8,129456.69300000001,158.48
January 2018,159917.8,129456.69300000001,67.9375
February 2018,160057.8,130519.69300000001,121.104
March 2018,160707.8,130788.773,301.015
April 2018,161257.8,130808.523,465.31
May 2018,162007.8,131090.453,767.292
June 2018,162547.8,131654.393,563.38
July 2018,162697.8,132237.393,459.1360000000001
August 2018,163297.8,132580.393,285.3225
September 2018,163347.8,132580.393,88.7225
October 2018,163747.8,132739.393,219.56599999999997
November 2018,163747.8,132739.393,167.20999999999998
December 2018,163897.8,133284.393,163.2475
January 2019,164497.8,134292.99300000002,229.546
February 2019,164497.8,134313.783,556.4875
March 2019,164497.8,134469.90300000002,780.4850000000001
April 2019,164556.1,135125.90300000002,586.808
May 2019,164564.4,135300.193,522.15
June 2019,164639.4,135296.883,256.9375
July 2019,164339.4,135179.283,110.26799999999999
August 2019,165139.4,140427.303,463.47249999999997
September 2019,165689.4,141781.93300000002,360.0925
October 2019,166799.4,141566.49300000002,197.18599999999998
November 2019,166749.4,141686.49300000002,97.80250000000001
December 2019,166899.4,142135.693,108.5075
January 2020,167449.4,142980.15300000002,138.902
February 2020,167449.4,143031.671,213.56
March 2020,168793.4,143705.071,184.85999999999999
April 2020,168918.4,144258.071,130.39000000000001
May 2020,170118.4,145227.731,86.5025
June 2020,172818.4,145288.731,52.492
July 2020,172868.4,145761.731,37.76
August 2020,174518.4,145570.631,56.974999999999994
September 2020,174893.4,145636.711,35.836
October 2020,175643.4,146015.311,23.377499999999998
November 2020,175643.4,146818.301,1.42
December 2020,176393.4,147722.721,15.354000000000003
