date,Maximum_Demand
2000-06-01,994753.2000000001
2000-07-01,1015883.6999999998
2000-08-01,1019456.7
2000-09-01,970196.6
2000-10-01,999622.8999999997
2000-11-01,941106.5
2000-12-01,966365.9801500002
2001-01-01,963904.5011600001
2001-02-01,899329.07
2001-03-01,1028506.93
2001-04-01,996787.62
2001-05-01,960001.7300000001
2001-06-01,761420.5999999999
2001-07-01,767365.6799999999
2001-08-01,774211.14
2001-09-01,747113.3300000001
2001-10-01,768883.626
2001-11-01,749820.3799999999
2001-12-01,773553.58
2002-01-01,815035.31007
2002-02-01,768970.82993
2002-03-01,910226.4099499999
2002-04-01,912340.2000300001
2002-05-01,948199.80996
2002-06-01,928093.60994
2002-07-01,940325.87
2002-08-01,954382.6900100001
2002-09-01,911988.31997
2002-10-01,980199.4699300001
2002-11-01,920754.1000500002
2002-12-01,921199.7499599999
2003-01-01,917027.0800000002
2003-02-01,883645.1800399998
2003-03-01,974594.6100499998
2003-04-01,960822.7659799996
2003-05-01,999447.9100200003
2003-06-01,973330.0900000001
2003-07-01,998593.1600500001
2003-08-01,987159.7800699997
2003-09-01,964354.4298999999
2003-10-01,998754.5000400001
2003-11-01,948794.3766400001
2003-12-01,968107.29998
2004-01-01,952487.0201200001
2004-02-01,921364.5399499999
2004-03-01,1025564.6499199998
2004-04-01,1002037.1499899997
2004-05-01,1044545.3299599999
2004-06-01,1023602.6698800001
2004-07-01,1051792.04993
2004-08-01,1061261.27995
2004-09-01,1037793.4279800002
2004-10-01,1055262.23012
2004-11-01,1003446.8399600001
2004-12-01,1019037.2119799999
2005-01-01,1010550.42
2005-02-01,941957.9399200001
2005-03-01,1087123.3901600002
2005-04-01,1071213.7299799998
2005-05-01,1094258.51998
2005-06-01,1064172.7029900001
2005-07-01,1070381.8500100002
2005-08-01,1098361.76107
2005-09-01,1036343.6159999999
2005-10-01,1070558.526
2005-11-01,1011732.1929999999
2005-12-01,1039526.017
2006-01-01,1049939.75
2006-02-01,980263.6730000001
2006-03-01,1116966.8399999999
2006-04-01,1068389.7500000002
2006-05-01,1109928.7100000002
2006-06-01,1079629.85
2006-07-01,1124588.5960000001
2006-08-01,1130513.53
2006-09-01,1065270.191
2006-10-01,1093670.071
2006-11-01,1055074.9200000002
2006-12-01,1078099.573
2007-01-01,1079589.3900000001
2007-02-01,1006534.6799999998
2007-03-01,1177693.2319999998
2007-04-01,1120066.24
2007-05-01,1151601.93
2007-06-01,1122481.96
2007-07-01,1144722.9
2007-08-01,1161985.832
2007-09-01,1124293.49
2007-10-01,1159241.21
2007-11-01,1091514.9900000002
2007-12-01,1127325.42
2008-01-01,1106375.87
2008-02-01,1055018.149
2008-03-01,1162751.9000000004
2008-04-01,1146677.4999999998
2008-05-01,1177656.06
2008-06-01,1157955.7399999998
2008-07-01,1203569.65
2008-08-01,1199466.8699999994
2008-09-01,1140326.7200000002
2008-10-01,1179959.7350000003
2008-11-01,1073274.57
2008-12-01,1053304.6600000001
2009-01-01,1069020.4
2009-02-01,1022526.9800000002
2009-03-01,1165047.98
2009-04-01,1097216.72
2009-05-01,1149193.5499999998
2009-06-01,1103009.25
2009-07-01,1155254.63
2009-08-01,1163431.6299999997
2009-09-01,1132066.5636000002
2009-10-01,1151974.6700000002
2009-11-01,1170402.1900000002
2009-12-01,1158448.3900000004
2010-01-01,1202240.8982099998
2010-02-01,1132536.3900000004
2010-03-01,1241334.32
2010-04-01,1161720.74
2010-05-01,1213014.7300000004
2010-06-01,1172246.3400000003
2010-07-01,1223985.3299999998
2010-08-01,1223610.5200000003
2010-09-01,1197129.27
2010-10-01,1200932.2599999998
2010-11-01,1163782.7199999997
2010-12-01,1222535.8099999998
2011-01-01,1240888.7300000002
2011-02-01,1185436.2424
2011-03-01,1249526.3590899997
2011-04-01,1224222.33
2011-05-01,1250387.1400000001
2011-06-01,1200908.7399999998
2011-07-01,1247498.8699999999
2011-08-01,1267056.9400000002
2011-09-01,1222393.4499999997
2011-10-01,1242870.1800000002
2011-11-01,1206324.56
2011-12-01,1252047.4
2012-01-01,1254023.8600000003
2012-02-01,1258827.6700000002
2012-03-01,1362943.5999999999
2012-04-01,1278269.3899999997
2012-05-01,1293479.9100000001
2012-06-01,1195044.09729
2012-07-01,1234580.7170000002
2012-08-01,1284432.19001
2012-09-01,1252619.6690000002
2012-10-01,1322358.4440000001
2012-11-01,1207499.1586600002
2012-12-01,1314541.3310000002
2013-01-01,1232394.2190000003
2013-02-01,1185013.5890000002
2013-03-01,1303688.016
2013-04-01,1221941.212
2013-05-01,1251702.54609
2013-06-01,1212140.2449999999
2013-07-01,1243984.8909999998
2013-08-01,1263908.449
2013-09-01,1232613.126
2013-10-01,1280092.7545399999
2013-11-01,1232369.115
2013-12-01,1263352.2951100003
2014-01-01,1380091.0989999997
2014-02-01,1231865.6153599997
2014-03-01,1347763.7119800001
2014-04-01,1256994.817
2014-05-01,1329509.27943
2014-06-01,1254147.43326
2014-07-01,1291236.4679999999
2014-08-01,1294909.81523
2014-09-01,1271537.9729999995
2014-10-01,1330723.2010000001
2014-11-01,1258110.721
2014-12-01,1289092.6773100002
2015-01-01,1436360.1149999998
2015-02-01,1248621.89787
2015-03-01,1359800.6738999998
2015-04-01,1245652.36261
2015-05-01,1242530.2960000006
2015-06-01,1189619.0820000004
2015-07-01,1235447.143
2015-08-01,1248073.8831199997
2015-09-01,1240190.17
2015-10-01,1309291.401
2015-11-01,1251975.99
2015-12-01,1294099.129
2016-01-01,1292210.4301199997
2016-02-01,1309364.7481799999
2016-03-01,1368474.1017699994
2016-04-01,1320405.8554899995
2016-05-01,1251309.9489999998
2016-06-01,1203596.63
2016-07-01,1247580.1090000004
2016-08-01,1253175.3237600003
2016-09-01,1212723.2519999999
2016-10-01,1265199.8920000005
2016-11-01,1205869.382
2016-12-01,1265768.6079999998
2017-01-01,1368568.3760000002
2017-02-01,1276538.037
2017-03-01,1392781.9949999999
2017-04-01,1249453.3839999998
2017-05-01,1269961.4587
2017-06-01,1230038.2
2017-07-01,1241117.034
2017-08-01,1246815.888
2017-09-01,1243262.501
2017-10-01,1307410.1590000002
2017-11-01,1229434.553
2017-12-01,1299672.7092800003
2018-01-01,1373178.5629999998
2018-02-01,1226094.7230000002
2018-03-01,1422100.629
2018-04-01,1273184.218
2018-05-01,1267762.7210000004
2018-06-01,1223957.507
2018-07-01,1273540.9209999999
2018-08-01,1273218.8349999997
2018-09-01,1245594.5150000006
2018-10-01,1310499.129
2018-11-01,1257061.207
2018-12-01,1349451.348
2019-01-01,1483927.0660000003
2019-02-01,1283911.9519999998
2019-03-01,1377904.8880000003
2019-04-01,1302393.9230000004
2019-05-01,1299020.604
2019-06-01,1240143.61
2019-07-01,1261673.0389999999
2019-08-01,1260229.7650000001
2019-09-01,1276523.0
2019-10-01,1347009.561
2019-11-01,1275765.901
2019-12-01,1309417.683
2020-01-01,1394840.7905000001
2020-02-01,1301149.3749999998
2020-03-01,1363167.3590000002
2020-04-01,1178586.984
2020-05-01,1221930.6349999998
2020-06-01,1219770.318
2020-07-01,1285970.404
2020-08-01,1311421.0779999997
2020-09-01,1332108.4400000002
2020-10-01,1385412.53
2020-11-01,1314662.9889999998
2020-12-01,1384994.594
